archivo,problema,gamma,semilla,min_fr,max_bl,tlimite,relleno_pct,vol_cargado,vol_contenedor,w_final,segundos
BR15.txt,10,1.00,1,98,10000,30.0,94.4010,28404894,30089620,17,30.00
BR15.txt,1,1.50,1,98,10000,30.0,94.4627,28423473,30089620,25,30.00
BR15.txt,2,1.50,1,98,10000,30.0,94.1594,28332205,30089620,25,30.00
BR15.txt,3,1.50,1,98,10000,30.0,93.5905,28161035,30089620,25,30.00
BR15.txt,4,1.50,1,98,10000,30.0,94.4889,28431355,30089620,25,30.00
BR15.txt,5,1.50,1,98,10000,30.0,94.0613,28302696,30089620,25,30.00
BR15.txt,6,1.50,1,98,10000,30.0,94.0388,28295904,30089620,25,30.00
BR15.txt,7,1.50,1,98,10000,30.0,93.7878,28220390,30089620,25,30.00
BR15.txt,8,1.50,1,98,10000,30.0,93.5530,28149742,30089620,25,30.00
BR15.txt,9,1.50,1,98,10000,30.0,94.7120,28498473,30089620,25,30.00
BR15.txt,10,1.50,1,98,10000,30.0,94.1540,28330573,30089620,17,30.00
BR15.txt,1,1.50,2,98,10000,30.0,93.9370,28265299,30089620,25,30.00
BR15.txt,2,1.50,2,98,10000,30.0,94.1309,28323637,30089620,25,30.00
BR15.txt,3,1.50,2,98,10000,30.0,93.5879,28160244,30089620,25,30.00
BR15.txt,4,1.50,2,98,10000,30.0,93.8844,28249446,30089620,25,30.00
BR15.txt,5,1.50,2,98,10000,30.0,93.9570,28271299,30089620,25,30.00
BR15.txt,6,1.50,2,98,10000,30.0,94.1464,28328283,30089620,25,30.00
BR15.txt,7,1.50,2,98,10000,30.0,93.6258,28171658,30089620,25,30.00
BR15.txt,8,1.50,2,98,10000,30.0,92.9604,27971438,30089620,25,30.00
BR15.txt,9,1.50,2,98,10000,30.0,94.6003,28464863,30089620,25,30.00
BR15.txt,10,1.50,2,98,10000,30.0,94.3988,28404240,30089620,17,30.00
BR15.txt,1,1.50,3,98,10000,30.0,93.9456,28267874,30089620,25,30.00
BR15.txt,2,1.50,3,98,10000,30.0,93.8607,28242332,30089620,25,30.00
BR15.txt,3,1.50,3,98,10000,30.0,94.0383,28295754,30089620,25,30.00
BR15.txt,4,1.50,3,98,10000,30.0,95.0166,28590146,30089620,25,30.00
BR15.txt,5,1.50,3,98,10000,30.0,93.4622,28122406,30089620,25,30.00
BR15.txt,6,1.50,3,98,10000,30.0,93.8588,28241764,30089620,17,30.00
BR15.txt,7,1.50,3,98,10000,30.0,93.4997,28133716,30089620,25,30.00
BR15.txt,8,1.50,3,98,10000,30.0,93.7809,28218302,30089620,25,30.00
BR15.txt,9,1.50,3,98,10000,30.0,94.3451,28388077,30089620,25,30.00
BR15.txt,10,1.50,3,98,10000,30.0,94.5027,28435489,30089620,17,30.00
BR15.txt,1,2.00,1,98,10000,30.0,93.8883,28250641,30089620,25,30.00
BR15.txt,2,2.00,1,98,10000,30.0,93.7631,28212970,30089620,25,30.00
BR15.txt,3,2.00,1,98,10000,30.0,93.1237,28020557,30089620,17,30.00
BR15.txt,4,2.00,1,98,10000,30.0,94.5036,28435772,30089620,25,30.00
BR15.txt,5,2.00,1,98,10000,30.0,93.4912,28131136,30089620,25,30.00
BR15.txt,6,2.00,1,98,10000,30.0,93.6405,28176068,30089620,17,30.00
BR15.txt,7,2.00,1,98,10000,30.0,93.7560,28210830,30089620,25,30.00
BR15.txt,8,2.00,1,98,10000,30.0,93.4603,28121854,30089620,25,30.00
BR15.txt,9,2.00,1,98,10000,30.0,93.7801,28218066,30089620,25,30.00
